id;name;category;duration_min;difficulty;physical_intensity;requires_morning;requires_silence;max_completions_per_day;habit_min_streak_days;habit_min_score;steps;contraindications;benefits;tags
69;Уттана Шишосана (Щенок);yoga;4;2;low;false;false;1;14;70;Встань на четвереньки | Опусти грудь к полу, руки вытянуты вперёд | Таз над коленями | Лоб на пол или на опору | Держи 7-10 дыханий | Медленно поднимись;shoulder_injury,knee_pain;Вытягивает позвоночник и плечи, раскрывает грудь, успокаивает ум, снимает напряжение со спины.;stretching,shoulders,spine,calmness,gentle
70;Уттан Приштхасана (Ящерица);yoga;5;3;medium;false;false;1;14;70;Из высокого выпада опусти руки на пол внутри правой стопы | Опусти левое колено или держи ногу прямой | Держи 5-7 дыханий | Повтори на другую сторону;knee_pain,hip_pain,groin_injury;Глубоко раскрывает бёдра и пах, вытягивает сгибатели бедра, готовит к более глубоким позам, развивает гибкость.;hip_opening,groin,flexibility,deep_stretch,lunge
71;Дельфин (Ardha Pincha Mayurasana);yoga;8;4;high;false;false;1;14;70;Встань на четвереньки | Опусти предплечья на пол, локти под плечами | Подними таз вверх как в Собаке мордой вниз | Держи 3-5 дыханий | Опустись на колени;shoulder_injury,neck_pain,high_pressure;Укрепляет плечи и руки, готовит к стойкам на предплечьях, вытягивает ноги, улучшает кровообращение.;shoulders,strength,preparation,inversion,challenge
72;Бакасана (Ворона);yoga;10;5;high;false;false;1;14;60;Присядь, руки на полу перед собой | Подними таз, колени на трицепсы | Перенеси вес вперёд, оторви стопы от пола | Держи 3-5 дыханий | Опусти стопы;wrist_pain,shoulder_injury,elbow_pain;Укрепляет руки и корпус, развивает баланс и концентрацию, учит преодолевать страх, улучшает контроль тела.;arm_balance,core,balance,focus,challenge
73;Пинча-майюрасана prep у стены;yoga;2;4;high;false;false;1;14;60;Встань на четвереньки лицом к стене | Опусти предплечья на пол | Подними одну ногу к стене | Держи 3-5 дыханий | Опустись;shoulder_injury,neck_pain,high_pressure,vertigo;Готовит к стойке на предплечьях, укрепляет плечи и корпус, развивает баланс, улучшает уверенность в перевёрнутых позах.;inversion,shoulders,preparation,balance,challenge
74;Стойка на руках prep у стены;yoga;3;5;high;false;false;1;14;60;Встань лицом к стене в Собаке мордой вниз | Подними одну ногу к стене | Оттолкнись второй ногой | Держи 3-5 дыханий у стены | Опустись;wrist_pain,shoulder_injury,high_pressure,vertigo;Готовит к стойке на руках, укрепляет руки и плечи, развивает баланс и силу, учит преодолевать страх.;inversion,arms,strength,balance,challenge
75;Дандасана (Посох);yoga;4;2;low;false;false;1;14;70;Сядь, ноги вытянуты вперёд | Руки по бокам от таза, пальцы вперёд | Выпрями спину, макушка вверх | Активируй ноги | Держи 5-7 дыханий;back_pain,hamstring_injury;Укрепляет спину и корпус, улучшает осанку, учит правильному выравниванию в сидячих позах, развивает осознанность.;alignment,posture,core,foundation,awareness
76;Сукхасана;yoga;5;1;low;false;false;1;14;70;Сядь, скрести ноги удобно | Выпрями спину, руки на коленях | Расслабь плечи | Дыши спокойно 7-10 циклов | Поменяй перекрест ног;knee_pain,hip_pain;Успокаивает ум, подходит для медитации, раскрывает бёдра, улучшает осанку, учит сидеть с прямой спиной.;meditation,sitting,calmness,hips,beginner
77;Ваджрасана;yoga;8;1;low;false;false;1;14;70;Встань на колени | Сядь ягодицами на пятки | Руки на бёдрах | Спина прямая | Дыши спокойно 7-10 циклов;knee_pain,ankle_injury;Улучшает пищеварение, успокаивает ум, укрепляет лодыжки, подходит для медитации и дыхательных практик.;meditation,sitting,digestion,calmness,simple
78;Вирасана (Герой);yoga;10;2;low;false;false;1;14;70;Встань на колени, стопы шире таза | Сядь между пятками на пол или на опору | Спина прямая, руки на бёдрах | Держи 5-7 дыханий | Медленно выйди;knee_pain,ankle_injury;Вытягивает бёдра и лодыжки, улучшает пищеварение, успокаивает ум, подходит для медитации и пранаямы.;meditation,sitting,thighs,ankles,calmness
79;Сиддхасана;yoga;2;2;medium;false;false;1;14;70;Сядь, одну пятку к промежности, вторую перед ней | Спина прямая, руки на коленях | Дыши спокойно 7-10 циклов | Поменяй ноги;knee_pain,hip_pain,ankle_injury;Классическая поза для медитации, успокаивает ум, раскрывает бёдра, улучшает концентрацию, балансирует энергию.;meditation,sitting,focus,hips,energy
80;Падмасана (Лотос);yoga;3;4;low;false;false;1;14;70;Сядь, помести правую стопу на левое бедро | Левую стопу на правое бедро | Спина прямая, руки на коленях | Дыши спокойно 5-7 циклов | Осторожно выйди;knee_pain,hip_pain,ankle_injury;Классическая поза для медитации, глубоко раскрывает бёдра, успокаивает ум, улучшает концентрацию, балансирует энергию.;meditation,sitting,hips,focus,traditional
81;Ардха Падмасана;yoga;4;3;low;false;false;1;14;70;Сядь, помести одну стопу на противоположное бедро | Вторую ногу согни перед собой | Спина прямая, руки на коленях | Дыши спокойно 7-10 циклов | Поменяй ноги;knee_pain,hip_pain,ankle_injury;Подготовка к Лотосу, раскрывает бёдра, успокаивает ум, подходит для медитации, более доступна чем полный Лотос.;meditation,sitting,hips,preparation,calmness
82;Навасана (Лодка);yoga;5;4;medium;false;false;1;14;70;Сядь, ноги вытянуты | Отклонись назад, подними ноги | Руки вперёд параллельно полу | Тело в форме буквы V | Держи 3-5 дыханий | Опустись и отдохни;back_pain,neck_pain,pregnancy;Укрепляет корпус и сгибатели бедра, улучшает баланс, развивает силу воли, стимулирует пищеварение.;core,strength,balance,willpower,abs
83;Ардха Навасана (Полулодка);yoga;8;5;high;false;false;1;14;60;Сядь, ноги вытянуты | Отклонись назад ниже, чем в Навасане | Подними ноги ниже | Руки вперёд или за головой | Держи 2-5 дыханий | Опустись;back_pain,neck_pain,pregnancy;Интенсивно укрепляет корпус, развивает силу и выносливость, улучшает контроль тела, тренирует силу воли.;core,strength,challenge,abs,endurance
84;Баддха Конасана (Бабочка);yoga;10;2;low;false;false;1;14;70;Сядь, соедини стопы, колени в стороны | Подтяни стопы к тазу | На вдохе вытяни спину | На выдохе мягко наклонись вперёд | Держи 7-10 дыханий | Медленно поднимись;knee_pain,hip_pain,groin_injury;Раскрывает бёдра и пах, улучшает гибкость, стимулирует органы таза, успокаивает ум, готовит к родам.;hip_opening,groin,flexibility,calmness,women
85;Упавиштха Конасана;yoga;2;3;medium;false;false;1;14;70;Сядь, ноги широко в стороны | На вдохе вытяни спину | На выдохе наклонись вперёд между ног | Руки вперёд на пол | Держи 7-10 дыханий | Медленно поднимись;back_pain,hamstring_injury,groin_injury;Вытягивает внутреннюю поверхность ног, раскрывает бёдра, успокаивает ум, улучшает гибкость, стимулирует органы таза.;hip_opening,legs,flexibility,calmness,stretching
86;Джану Ширшасана;yoga;3;2;low;false;false;1;14;70;Сядь, одну ногу вытяни, вторую согни, стопа к внутренней поверхности бедра | На вдохе вытяни спину | На выдохе наклонись к прямой ноге | Держи 7-10 дыханий | Повтори на другую сторону;back_pain,knee_pain,hamstring_injury;Вытягивает заднюю поверхность ноги, успокаивает ум, улучшает пищеварение, массирует органы живота.;forward_fold,hamstrings,calmness,digestion,stretching
87;Пашчимоттанасана;yoga;4;3;medium;false;false;1;14;70;Сядь, ноги вытянуты вперёд | На вдохе вытяни спину | На выдохе наклонись вперёд к ногам | Руки к стопам или голеням | Держи 7-10 дыханий | Медленно поднимись;back_pain,hamstring_injury,pregnancy;Глубоко вытягивает заднюю поверхность тела, успокаивает ум, улучшает пищеварение, снимает стресс.;forward_fold,hamstrings,calmness,stretching,stress_relief
88;Ардха Матсиендрасана;yoga;5;3;medium;false;false;1;14;70;Сядь, правую ногу согни, стопа у левого бедра | Левую ногу перенеси через правую | На вдохе вытяни спину | На выдохе скрутись влево | Держи 5-7 дыханий | Повтори на другую сторону;back_pain,knee_pain,pregnancy;Скручивает позвоночник, улучшает пищеварение, массирует внутренние органы, раскрывает грудь, развивает гибкость.;twist,spine,detox,digestion,flexibility
89;Маричиасана C;yoga;8;4;medium;false;false;1;14;70;Сядь, правую ногу вытяни, левую согни, стопа на полу | На вдохе вытяни спину | На выдохе скрутись влево, правый локоть за левое колено | Держи 5-7 дыханий | Повтори на другую сторону;back_pain,knee_pain;Глубоко скручивает позвоночник, улучшает пищеварение, массирует органы, развивает гибкость и концентрацию.;twist,spine,detox,digestion,challenge
90;Гомукхасана;yoga;10;3;medium;false;false;1;14;70;Сядь, правое колено над левым, стопы у противоположных бёдер | Правая рука вверх, согни за спиной | Левая рука снизу за спиной | Попытайся соединить руки | Держи 5-7 дыханий | Повтори на другую сторону;knee_pain,shoulder_injury,hip_pain;Раскрывает бёдра и плечи, вытягивает руки, улучшает осанку, развивает гибкость в труднодоступных зонах.;hips,shoulders,flexibility,stretching,challenge
91;Эка Пада Раджакапотасана prep (Голубь);yoga;2;3;medium;false;false;1;14;70;Из Собаки мордой вниз вынеси правую ногу вперёд, согни, голень параллельно краю коврика | Левую ногу вытяни назад | Опустись на предплечья или лоб к полу | Держи 7-10 дыханий | Повтори на другую сторону;knee_pain,hip_pain,ankle_injury;Глубоко раскрывает бёдра, вытягивает сгибатели бедра, снимает эмоциональное напряжение, успокаивает ум.;hip_opening,deep_stretch,emotional_release,calmness,flexibility
92;Figure-4 лёжа (Супта Капотасана);yoga;3;2;low;false;false;1;14;70;Ляг на спину, согни ноги | Помести правую лодыжку на левое бедро | Продень руки между ног, обхвати левое бедро | Притяни к груди | Держи 7-10 дыханий | Повтори на другую сторону;knee_pain,hip_pain;Мягко раскрывает бёдра, снимает напряжение с поясницы, успокаивает, доступна для начинающих.;hip_opening,gentle,lower_back,calmness,accessible
93;Супта Баддха Конасана;yoga;4;1;low;false;false;1;14;70;Ляг на спину | Соедини стопы, колени в стороны | Руки вдоль тела или на живот | Подложи опоры под колени при необходимости | Дыши спокойно 7-10 минут | Медленно выйди;knee_pain,hip_pain,groin_injury;Глубоко расслабляет, раскрывает бёдра и грудь, успокаивает нервную систему, восстанавливает, подходит для вечера.;restorative,hip_opening,relaxation,calmness,evening
94;Апанасана;yoga;5;1;low;false;false;1;14;70;Ляг на спину | Подтяни колени к груди | Обхвати колени руками | Мягко покачивайся из стороны в сторону | Дыши спокойно 7-10 циклов | Опусти ноги;none;Массирует поясницу, улучшает пищеварение, снимает напряжение, успокаивает, помогает при вздутии живота.;lower_back,digestion,gentle,massage,calmness
95;Супта Матсиендрасана;yoga;8;2;low;false;false;1;14;70;Ляг на спину, руки в стороны | Подтяни правое колено к груди | Опусти колено влево, скрутись | Правое плечо на полу | Держи 7-10 дыханий | Повтори на другую сторону;back_pain,knee_pain,pregnancy;Мягко скручивает позвоночник, массирует органы, снимает напряжение со спины, успокаивает, готовит ко сну.;twist,spine,relaxation,detox,evening
96;Ананда Баласана (Happy Baby);yoga;10;1;low;false;false;1;14;70;Ляг на спину, подтяни колени к груди | Возьмись за внешние края стоп | Колени шире корпуса, голени перпендикулярно полу | Мягко покачивайся | Держи 7-10 дыханий | Опусти ноги;knee_pain,hip_pain,groin_injury;Раскрывает бёдра и пах, массирует поясницу, снимает стресс, расслабляет, улучшает настроение.;hip_opening,lower_back,relaxation,playful,stress_relief
97;Паванамуктасана;yoga;2;1;low;false;false;1;14;70;Ляг на спину | Подтяни правое колено к груди, обхвати руками | Держи 5-7 дыханий | Опусти и повтори с левой ногой | Затем обе ноги вместе | Дыши спокойно;none;Улучшает пищеварение, снимает газы и вздутие, массирует органы живота, расслабляет поясницу.;digestion,gentle,lower_back,massage,simple
98;Сету Бандха Сарвангасана (Полумост);yoga;3;3;medium;false;false;1;14;70;Ляг на спину, согни ноги, стопы на полу | Подними таз вверх | Переплети пальцы под спиной или руки вдоль тела | Держи 5-7 дыханий | Медленно опустись позвонок за позвонком;neck_pain,back_pain,high_pressure;Раскрывает грудь и плечи, укрепляет спину и ягодицы, улучшает настроение, стимулирует щитовидную железу.;backbend,chest_opening,strength,mood,energizing
99;Поддержанный мост на блоке;yoga;4;1;low;false;false;1;14;70;Ляг на спину, согни ноги | Подними таз и помести блок под крестец | Руки вдоль тела, расслабься | Дыши спокойно 5-10 минут | Убери блок и опустись;back_pain,neck_pain;Восстанавливает, мягко раскрывает грудь, снимает усталость с ног, успокаивает нервную систему, подходит для вечера.;restorative,gentle,relaxation,legs,evening
100;Урдхва Дханурасана (Колесо);yoga;5;5;high;false;false;1;14;60;Ляг на спину, согни ноги, стопы у ягодиц | Руки у ушей, пальцы к плечам | На вдохе подними таз и грудь, выпрями руки | Держи 3-5 дыханий | Опустись медленно;back_pain,wrist_pain,shoulder_injury,neck_pain,high_pressure;Глубоко раскрывает грудь и плечи, укрепляет всё тело, даёт мощный заряд энергии, развивает силу и гибкость.;backbend,full_body,energy,strength,challenge
101;Шалабхасана (Саранча);yoga;8;3;medium;false;false;1;14;70;Ляг на живот, руки вдоль тела | На вдохе подними грудь, руки и ноги от пола | Тянись назад и вверх | Держи 3-5 дыханий | Опустись и расслабься;back_pain,neck_pain,pregnancy;Укрепляет всю заднюю поверхность тела, улучшает осанку, стимулирует органы живота, развивает выносливость.;backbend,strength,full_body,posture,endurance
102;Дханурасана (Лук);yoga;10;4;high;false;false;1;14;70;Ляг на живот | Согни ноги, возьмись руками за лодыжки | На вдохе подними грудь и бёдра, прогнись | Держи 3-5 дыханий | Опустись и расслабься;back_pain,neck_pain,shoulder_injury,pregnancy;Глубоко раскрывает грудь и плечи, укрепляет спину, массирует органы живота, улучшает гибкость позвоночника.;backbend,chest_opening,strength,flexibility,challenge
103;Уштрасана (Верблюд);yoga;2;4;medium;false;false;1;14;70;Встань на колени, бёдра перпендикулярно полу | Руки на поясницу | Прогнись назад, руки к пяткам | Держи 3-5 дыханий | Медленно выйди, опустив подбородок к груди;back_pain,neck_pain,high_pressure,vertigo;Глубоко раскрывает грудь и горло, вытягивает переднюю поверхность тела, улучшает осанку, стимулирует щитовидную железу.;backbend,chest_opening,throat,energy,challenge
104;Матсиасана (Рыба);yoga;3;3;medium;false;false;1;14;70;Ляг на спину, ноги вытянуты | Подложи руки под ягодицы | Прогнись, макушка на полу | Держи 3-5 дыханий | Опусти голову и расслабься;neck_pain,back_pain,high_pressure;Раскрывает грудь и горло, компенсирует наклоны вперёд, улучшает дыхание, стимулирует щитовидную железу.;backbend,chest_opening,throat,breath,compensation
105;Пурвоттанасана (Обратная планка);yoga;4;4;medium;false;false;1;14;70;Сядь, ноги вытянуты, руки за тазом | Подними таз вверх, тело — прямая линия | Голова назад или нейтрально | Держи 3-5 дыханий | Опустись;wrist_pain,shoulder_injury,neck_pain;Укрепляет руки, плечи, спину и ноги, раскрывает грудь, улучшает осанку, развивает силу всего тела.;strength,backbend,full_body,chest_opening,challenge
106;Шавасана;yoga;5;1;low;false;true;1;14;70;Ляг на спину, ноги чуть шире плеч, руки вдоль тела ладонями вверх | Закрой глаза | Полностью расслабь всё тело | Наблюдай дыхание | Оставайся неподвижно 5-15 минут | Медленно вернись;none;Глубоко расслабляет тело и ум, интегрирует практику, восстанавливает нервную систему, снижает стресс и тревогу.;relaxation,integration,rest,stress_relief,essential
107;Випарита Карани (Ноги на стене);yoga;8;1;low;false;false;1;14;70;Ляг боком к стене | Разверни таз, подними ноги на стену | Руки вдоль тела, расслабься | Дыши спокойно 5-10 минут | Согни ноги и повернись на бок;varicose_veins,glaucoma,high_pressure;Снимает усталость с ног, улучшает кровообращение, успокаивает нервную систему, помогает при бессоннице.;restorative,legs,relaxation,circulation,evening
108;Йога-нидра (базовая);yoga;10;2;low;false;true;1;14;70;Ляг в Шавасану | Закрой глаза | Следуй голосовым инструкциям или сканируй тело от стоп к макушке | Наблюдай ощущения без оценки | Оставайся на грани сна и бодрствования 10-30 минут | Медленно вернись;none;Глубоко расслабляет на всех уровнях, восстанавливает нервную систему, улучшает сон, снижает тревогу и стресс.;deep_relaxation,restorative,sleep,stress_relief,meditation
109;Сурья Намаскар A;yoga;2;2;medium;true;false;3;14;70;Встань в Тадасану | Вдох — руки вверх | Выдох — наклон | Вдох — полуподъём | Выдох — Чатуранга | Вдох — Собака вверх | Выдох — Собака вниз | Вдох — шаг вперёд, полуподъём | Выдох — наклон | Вдох — руки вверх | Выдох — Тадасана | Повтори 3-6 кругов;back_pain,wrist_pain,shoulder_injury;Разогревает всё тело, улучшает гибкость и силу, координирует дыхание с движением, даёт энергию на весь день.;flow,full_body,energizing,breath_coordination,morning
110;Сурья Намаскар B;yoga;3;3;medium;true;false;3;14;70;Тадасана | Уткатасана | Наклон | Полуподъём | Чатуранга | Собака вверх | Собака вниз | Воин I правая | Чатуранга | Собака вверх | Собака вниз | Воин I левая | Чатуранга | Собака вверх | Собака вниз | Полуподъём | Наклон | Уткатасана | Тадасана | Повтори 3-6 кругов;back_pain,wrist_pain,knee_pain,shoulder_injury;Более интенсивно разогревает тело, укрепляет ноги и корпус, развивает выносливость, улучшает координацию и концентрацию.;flow,full_body,strength,energizing,morning
111;Чандра Намаскар;yoga;4;2;low;false;false;1;14;70;Встань в Тадасану | Выполни мягкую последовательность с боковыми наклонами и скрутками | Двигайся медленнее чем в Сурья Намаскар | Синхронизируй движения с дыханием | Сделай 3-6 кругов | Завершай в спокойном ритме;none;Успокаивает нервную систему, подходит для вечера, развивает гибкость боков, балансирует энергию, готовит ко сну.;flow,calming,evening,flexibility,gentle
112;Триконасана с блоком;yoga;5;2;low;false;false;1;14;70;Встань в Триконасану | Помести блок под нижней рукой для поддержки | Раскрой грудь, взгляд вверх | Держи 5-7 дыханий | Повтори на другую сторону;back_pain,neck_pain;Делает Триконасану доступнее, помогает сохранить выравнивание, вытягивает бока, развивает баланс без перенапряжения.;triangle,accessible,props,balance,alignment
113;Врикшасана у стены;yoga;8;2;low;false;false;1;14;70;Встань спиной к стене | Выполни позу Дерева, опираясь спиной на стену | Держи 5-7 дыханий | Повтори на другую сторону;ankle_injury;Делает балансовую позу доступнее, помогает почувствовать выравнивание, развивает уверенность, подходит для начинающих.;balance,accessible,props,beginner,confidence
114;Воин II у стены;yoga;10;2;low;false;false;1;14;70;Встань спиной к стене | Выполни Воина II, опираясь крестцом на стену | Держи 5-7 дыханий | Повтори на другую сторону;knee_pain;Помогает почувствовать правильное выравнивание таза, укрепляет ноги, развивает устойчивость, подходит для изучения позы.;warrior,accessible,props,alignment,learning
115;Уткатасана у стены;yoga;2;2;low;false;false;1;14;70;Встань спиной к стене | Опустись в позу Стула, спина на стене | Держи 5-7 дыханий | Медленно поднимись;knee_pain,back_pain;Помогает почувствовать правильное выравнивание, укрепляет ноги без перегрузки спины, подходит для начинающих.;accessible,props,legs,alignment,beginner
116;Наклон стоя у стены;yoga;3;2;low;false;false;1;14;70;Встань лицом к стене на расстоянии вытянутых рук | Наклонись, руки на стене | Вытягивай спину параллельно полу | Держи 7-10 дыханий | Медленно выпрямись;back_pain,hamstring_injury;Мягко вытягивает заднюю поверхность ног и спину, учит правильному наклону, доступна для начинающих и людей с ограничениями.;forward_fold,accessible,props,gentle,alignment
117;Поза щенка с болстером;yoga;4;2;low;false;false;1;14;70;Встань на четвереньки | Помести болстер под грудь | Опустись на болстер, руки вперёд | Расслабься, дыши спокойно 5-10 минут | Медленно поднимись;shoulder_injury;Глубоко расслабляет, мягко вытягивает плечи и позвоночник, восстанавливает, успокаивает нервную систему.;restorative,props,relaxation,shoulders,gentle
118;Баласана с болстером;yoga;5;1;low;false;false;1;14;70;Встань на колени | Помести болстер между ног | Наклонись вперёд, лоб на болстер | Руки вдоль тела, расслабься | Дыши спокойно 5-10 минут | Медленно поднимись;knee_pain,pregnancy;Глубоко расслабляет, поддерживает тело, успокаивает ум, снимает напряжение со спины, подходит для длительного отдыха.;restorative,props,relaxation,gentle,accessible
119;Супта скрутка с болстером;yoga;8;1;low;false;false;1;14;70;Ляг на спину, болстер справа | Подтяни колени к груди, опусти их на болстер вправо | Руки в стороны, расслабься | Дыши 5-10 минут | Повтори на другую сторону;back_pain,pregnancy;Мягко скручивает позвоночник, глубоко расслабляет, массирует органы, успокаивает, подходит для вечера.;restorative,props,twist,relaxation,evening
120;Сетубандха восстановительная;yoga;10;1;low;false;false;1;14;70;Ляг на спину, согни ноги | Помести болстер или блоки под крестец | Руки вдоль тела, расслабься | Дыши спокойно 5-10 минут | Убери опору и опустись;back_pain,neck_pain;Восстанавливает, мягко раскрывает грудь, снимает усталость, успокаивает нервную систему, улучшает кровообращение.;restorative,props,relaxation,gentle,circulation
121;Поза ребёнка с длинным выдохом;yoga;2;1;low;false;false;1;14;70;Встань на колени, сядь на пятки | Наклонись вперёд в позу ребёнка | Дыши через нос, делая выдох в два раза длиннее вдоха | Продолжай 2-3 минуты | Медленно поднимись;knee_pain,pregnancy;Глубоко успокаивает нервную систему, снижает стресс, улучшает качество дыхания, готовит ко сну.;breath,relaxation,calmness,nervous_system,gentle
122;Кошка-Корова 10 циклов;yoga;3;1;low;false;false;1;14;70;Встань на четвереньки | На вдохе прогни спину (Корова), на выдохе округли (Кошка) | Двигайся медленно и плавно | Повтори 8-10 циклов | Вернись в нейтраль и отдохни;none;Массирует позвоночник, улучшает гибкость, координирует дыхание с движением, разогревает спину, снимает напряжение.;spine,flexibility,breath_coordination,warm_up,gentle
123;Лёгкая виньяса 5 дыханий;yoga;4;2;low;false;false;1;14;70;Создай короткую последовательность из 3-5 поз | Например: Гора → Наклон → Полуподъём → Планка → Ребёнок | Синхронизируй каждое движение с вдохом или выдохом | Двигайся плавно без рывков | Повтори 2-3 раза;none;Разогревает тело, улучшает координацию дыхания и движения, развивает плавность, подходит для начинающих.;flow,breath_coordination,gentle,warm_up,beginner
124;Bird Dog (вытяжение противоположных конечностей);yoga;5;2;low;false;false;1;14;70;Встань на четвереньки | Вытяни правую руку вперёд и левую ногу назад | Держи баланс 3-5 дыханий | Вернись в центр | Повтори на другую сторону | Сделай 6-10 повторений;none;Укрепляет корпус и спину, развивает баланс и координацию, улучшает осанку, безопасно для спины.;core,balance,back,coordination,gentle
125;Thread the Needle (скрутка плеч);yoga;8;2;low;false;false;1;14;70;Встань на четвереньки | Продень правую руку под левой, опусти правое плечо на пол | Левая рука вперёд или вверх | Держи 7-10 дыханий | Повтори на другую сторону;shoulder_injury,neck_pain;Вытягивает плечи и верхнюю часть спины, мягко скручивает позвоночник, снимает напряжение, успокаивает.;shoulders,twist,stretching,gentle,relaxation
126;Поза стола (Tabletop hold);yoga;10;2;low;false;false;1;14;70;Встань на четвереньки | Запястья под плечами, колени под бёдрами | Держи спину ровной, шею нейтральной | Активируй корпус | Держи 5-10 дыханий | Отдохни в позе ребёнка;none;Укрепляет корпус и руки, учит нейтральному положению позвоночника, развивает осознанность выравнивания, основа для многих поз.;core,alignment,foundation,awareness,beginner
127;Обратный стол (Reverse tabletop);yoga;2;3;medium;false;false;1;14;70;Сядь, согни ноги, руки за тазом | Подними таз, тело параллельно полу | Держи 3-5 дыханий | Опустись и отдохни;wrist_pain,shoulder_injury;Укрепляет руки, плечи и ноги, раскрывает грудь, улучшает осанку, развивает силу задней поверхности тела.;strength,chest_opening,back,arms,challenge
128;Поза лодки с ремнём;yoga;3;2;low;false;false;1;14;70;Сядь, накинь ремень на стопы | Отклонись назад, подними ноги | Держи ремень руками | Держи 3-5 дыханий | Опустись;back_pain,hamstring_injury;Делает позу Лодки доступнее, укрепляет корпус, помогает сохранить выравнивание, подходит для начинающих.;core,accessible,props,strength,beginner
129;Гомукхасана руки с ремнём;yoga;4;2;low;false;false;1;14;70;Встань или сядь | Правая рука вверх, согни за спиной | Левая рука снизу за спиной | Держи ремень между руками | Держи 5-7 дыханий | Повтори на другую сторону;shoulder_injury;Делает захват рук доступнее, вытягивает плечи, улучшает гибкость, помогает постепенно сблизить руки.;shoulders,accessible,props,flexibility,gentle
130;Орёл руки (Eagle arms only);yoga;5;2;low;false;false;1;14;70;Встань или сядь | Правый локоть под левым, переплети предплечья | Ладони вместе или держи ремень | Подними локти на уровень плеч | Держи 5-7 дыханий | Повтори на другую сторону;shoulder_injury;Вытягивает плечи и верхнюю часть спины, снимает напряжение между лопатками, улучшает подвижность плеч.;shoulders,stretching,upper_back,gentle,accessible
131;Плечевой мост динамический;yoga;8;2;low;false;false;1;14;70;Ляг на спину, согни ноги | На вдохе подними таз в мост | На выдохе опусти позвонок за позвонком | Повтори 8-10 раз медленно и плавно | Отдохни;back_pain,neck_pain;Укрепляет спину и ягодицы, массирует позвоночник, улучшает подвижность, разогревает тело, координирует дыхание с движением.;backbend,dynamic,spine,warm_up,breath_coordination
132;Мягкие скрутки стоя;yoga;10;1;low;false;false;1;14;70;Встань, ноги на ширине плеч | Руки на плечах или в стороны | Мягко скручивайся вправо-влево | Двигайся от центра, плечи расслаблены | Повтори 10-15 раз в каждую сторону | Дыши свободно;none;Массирует позвоночник, разогревает спину, улучшает подвижность, снимает напряжение, подходит для разминки.;twist,dynamic,warm_up,gentle,spine
133;Сидячий боковой наклон;yoga;2;1;low;false;false;1;14;70;Сядь удобно, скрестив ноги | Правая рука на пол, левая вверх | Наклонись вправо, вытягивая левый бок | Держи 5-7 дыханий | Повтори на другую сторону;none;Вытягивает бока и межрёберные мышцы, улучшает дыхание, снимает напряжение, мягко раскрывает грудь.;side_body,stretching,breath,gentle,accessible
134;Поза горы с дыханием;yoga;3;1;low;false;false;1;14;70;Встань в Тадасану | Закрой глаза | Дыши через нос, наблюдая естественный ритм | Почувствуй устойчивость и заземление | Продолжай 2-3 минуты | Открой глаза;none;Развивает осознанность дыхания и тела, успокаивает ум, улучшает осанку, учит присутствию в простоте.;breath,awareness,grounding,calmness,beginner
135;Осознанная ходьба в йога-ритме;yoga;4;1;low;false;false;1;14;70;Иди медленно | Синхронизируй шаги с дыханием: 3-4 шага на вдох, 3-4 на выдох | Держи спину прямой | Наблюдай ощущения в стопах | Продолжай 5-10 минут;none;Развивает осознанность движения, координирует дыхание с ходьбой, успокаивает ум, подходит для активной медитации.;walking,breath,awareness,calmness,mindfulness
136;Диафрагмальное дыхание;yoga;5;1;low;false;false;1;21;70;Ляг или сядь удобно | Положи руку на живот | Вдыхай носом, расширяя живот | Выдыхай носом, живот опускается | Дыши медленно и глубоко 5-10 минут | Грудь почти неподвижна;none;Успокаивает нервную систему, улучшает качество дыхания, снижает стресс, массирует внутренние органы, учит правильному дыханию.;breath,relaxation,stress_relief,nervous_system,foundational
137;Квадратное дыхание (Box breathing);yoga;8;2;low;false;false;1;21;70;Сядь удобно с прямой спиной | Вдох на 4 счёта | Задержка на 4 | Выдох на 4 | Задержка на 4 | Повтори 5-10 циклов | Дыши через нос, плечи расслаблены;none;Балансирует нервную систему, улучшает концентрацию, снижает стресс, развивает контроль дыхания, подходит перед важными событиями.;breath,focus,balance,stress_relief,concentration
138;Нади Шодхана;yoga;10;2;low;false;false;1;14;70;Сядь с прямой спиной | Правой рукой закрой правую ноздрю, вдохни левой | Закрой левую, выдохни правой | Вдохни правой, выдохни левой | Это один цикл | Повтори 6-9 циклов | Дыши мягко без усилия;high_pressure,cold;Балансирует правое и левое полушария, успокаивает ум, очищает энергетические каналы, улучшает концентрацию, готовит к медитации.;breath,balance,calmness,focus,energy
139;Нади Шодхана 9 кругов;yoga;2;2;low;false;false;1;14;70;Сядь с прямой спиной | Выполни технику Нади Шодхана | Сделай ровно 9 полных циклов | Дыши мягко и ровно | Завершай на выдохе через левую ноздрю | Посиди спокойно минуту;high_pressure,cold;Глубоко балансирует энергию, успокаивает ум, очищает каналы, улучшает ясность мышления, традиционная практика для медитации.;breath,balance,energy,calmness,traditional
140;Уджайи дыхание;yoga;3;2;low;false;false;1;21;70;Сядь или встань удобно | Слегка сузь горло | Дыши через нос с мягким шепчущим звуком | Выдох чуть длиннее вдоха | Сделай 10-20 спокойных циклов | Дыши ровно и глубоко;none;Согревает тело, улучшает концентрацию, успокаивает ум, развивает контроль дыхания, используется в виньяса-йоге.;breath,focus,warmth,calmness,concentration
